Solution Label,Type,Element,Soln Conc
Blank,Blk,Al 308.215,0
Blank,Blk,As 193.696,0
Blank,Blk,Ba 455.403,0
Blank,Blk,Cd 226.502,0
Blank,Blk,Co 228.615,0
Blank,Blk,Cr 267.716,0
Blank,Blk,Cu 324.754,0
Blank,Blk,K 766.491,0
Blank,Blk,Mn 257.610,0
Blank,Blk,Mo 202.032,0
Blank,Blk,Ni 231.604,0
Blank,Blk,Pb 220.353,0
Blank,Blk,Se 196.026,0
Blank,Blk,Sr 407.771,0
Blank,Blk,Zn 213.857,0
Standard 1,Std,Al 308.215,5
Standard 1,Std,As 193.696,5
Standard 1,Std,Ba 455.403,5
Standard 1,Std,Cd 226.502,5
Standard 1,Std,Co 228.615,5
Standard 1,Std,Cr 267.716,5
Standard 1,Std,Cu 324.754,5
Standard 1,Std,K 766.491,50
Standard 1,Std,Mn 257.610,5
Standard 1,Std,Mo 202.032,5
Standard 1,Std,Ni 231.604,5
Standard 1,Std,Pb 220.353,5
Standard 1,Std,Se 196.026,5
Standard 1,Std,Sr 407.771,5
Standard 1,Std,Zn 213.857,5
Blk (1/100),Samp,Al 308.215,0.0123962
Blk (1/100),Samp,As 193.696,-0.00299112
Blk (1/100),Samp,Ba 455.403,0.0139036
Blk (1/100),Samp,Cd 226.502,0.0164828
Blk (1/100),Samp,Co 228.615,0.0150313
Blk (1/100),Samp,Cr 267.716,0.0143496
Blk (1/100),Samp,Cu 324.754,0.0133536
Blk (1/100),Samp,K 766.491,0.164291
Blk (1/100),Samp,Mn 257.610,0.0143733
Blk (1/100),Samp,Mo 202.032,0.0184874
Blk (1/100),Samp,Ni 231.604,0.00255161
Blk (1/100),Samp,Pb 220.353,0.0400335
Blk (1/100),Samp,Se 196.026,0.0237871
Blk (1/100),Samp,Sr 407.771,0.0138715
Blk (1/100),Samp,Zn 213.857,0.0158591
1 (1/100),Samp,Al 308.215,0.0107457
1 (1/100),Samp,As 193.696,0.00922424
1 (1/100),Samp,Ba 455.403,0.00218321
